Id;Amount;Vol_total;Btw_pour;Pour_time;Time;Dev_id;Brand_id;CustomerId;LocationId;CreationDate;CL;ConvertedAmount;ConvertedCL;SelectedCL;TimeUTC;Flow_0;FlowRate;Mode;TapId;StopCondition;Temp_after;Temp_before
3304234;2;2850;1;17800;2019-04-17 18:41:16.000;844e-0000-0f01-071a;1;78;96;17.04.2019 15:41;50;2;50;50;2019-04-17 15:41:16.000;1,263158;2,769564;0;302;0;0,699999988;0,899999976
3304236;2;2853;1;14000;2019-04-17 18:41:33.000;844e-0000-0f01-071a;1;78;96;17.04.2019 15:41;50;2;50;50;2019-04-17 15:41:33.000;2,053915;3,525063;1;302;0;0,899999976;1
3304402;2;2854;827;13475;2019-04-17 18:55:34.000;844e-0000-0f01-071a;1;78;96;17.04.2019 15:55;50;2;50;50;2019-04-17 15:55:34.000;3,132221;3,663704;1;302;0;1,600000024;13,19999981
3304435;2;2854;103;13600;2019-04-17 18:57:32.000;844e-0000-0f01-071a;1;78;96;17.04.2019 15:57;50;2;50;50;2019-04-17 15:57:32.000;2,789474;3,630031;1;302;0;0,699999988;7,400000095
3304436;2;2853;1;14275;2019-04-17 18:57:48.000;844e-0000-0f01-071a;1;78;96;2019-04-17 15:57:55.030;50;2;50;50;2019-04-17 15:57:48.000;1,070175;3,457154;1;302;0;0,600000024;0,899999976
3304495;1;1715;259;8600;2019-04-17 19:02:17.000;844e-0000-0f01-071a;1;78;96;17.04.2019 16:03;30;1;30;30;2019-04-17 16:02:17.000;2,877193;3,416973;1;302;0;1,700000048;7
3304599;2;2851;432;13475;2019-04-17 19:09:44.000;844e-0000-0f01-071a;1;78;96;17.04.2019 16:09;50;2;50;50;2019-04-17 16:09:44.000;3,087719;3,659799;1;302;0;1,100000024;10,19999981
3304696;2;2852;498;13450;2019-04-17 19:18:16.000;844e-0000-0f01-071a;1;78;96;17.04.2019 16:18;50;2;50;50;2019-04-17 16:18:16.000;3,035088;3,667906;1;302;0;1,299999952;10,80000019
3304832;2;2850;484;13475;2019-04-17 19:26:34.000;844e-0000-0f01-071a;1;78;96;17.04.2019 16:26;50;2;50;50;2019-04-17 16:26:34.000;3,035088;3,658497;1;302;0;0,899999976;10,69999981
3304833;2;2854;2;13675;2019-04-17 19:26:51.000;844e-0000-0f01-071a;1;78;96;17.04.2019 16:26;50;2;50;50;2019-04-17 16:26:51.000;2,481814;3,610122;1;302;0;0,699999988;1,5
3304934;2;2854;330;13525;2019-04-17 19:32:35.000;844e-0000-0f01-071a;1;78;96;2019-04-17 16:33:10.080;50;2;50;50;2019-04-17 16:32:35.000;2,929825;3,650161;1;302;0;1;8
3305228;2;2852;1106;13375;2019-04-17 19:51:16.000;844e-0000-0f01-071a;1;78;96;17.04.2019 16:51;50;2;50;50;2019-04-17 16:51:16.000;3,166453;3,688473;1;302;0;1,5;14,69999981
3305402;2;2851;673;13425;2019-04-17 20:02:44.000;844e-0000-0f01-071a;1;78;96;17.04.2019 17:02;50;2;50;50;2019-04-17 17:02:44.000;3,132221;3,673429;1;302;0;1,600000024;13,60000038
3305434;2;2850;67;13600;2019-04-17 20:04:06.000;844e-0000-0f01-071a;1;78;96;17.04.2019 17:04;50;2;50;50;2019-04-17 17:04:06.000;2,736842;3,624871;1;302;0;0,800000012;7,199999809
3305522;1;1714;313;8525;2019-04-17 20:09:29.000;844e-0000-0f01-071a;1;78;96;17.04.2019 17:09;30;1;30;30;2019-04-17 17:09:29.000;2,894737;3,444976;1;302;0;2,200000048;8,300000191
3305538;0;852;1;4925;2019-04-17 20:09:37.000;844e-0000-0f01-071a;1;78;96;17.04.2019 17:10;0;0;0;30;2019-04-17 17:09:37.000;2,614035;2,89251;0;302;0;1,299999952;2,599999905
3305545;2;2851;7;24550;2019-04-17 20:10:09.000;844e-0000-0f01-071a;1;78;96;17.04.2019 17:10;50;2;50;50;2019-04-17 17:10:09.000;1,894737;2,00879;0;302;0;0,800000012;3,299999952
3305548;2;2850;2;14000;2019-04-17 20:10:26.000;844e-0000-0f01-071a;1;78;96;17.04.2019 17:10;50;2;50;50;2019-04-17 17:10:26.000;1,789474;3,521303;1;302;0;0,699999988;1
3305550;2;2850;4;13950;2019-04-17 20:10:45.000;844e-0000-0f01-071a;1;78;96;17.04.2019 17:10;50;2;50;50;2019-04-17 17:10:45.000;1,719298;3,533924;1;302;0;1;1,200000048
3305560;1;1714;35;9000;2019-04-17 20:11:30.000;844e-0000-0f01-071a;1;78;96;17.04.2019 17:11;30;1;30;30;2019-04-17 17:11:30.000;1,877193;3,263158;1;302;0;1,100000024;2,599999905
3305588;2;2850;106;13975;2019-04-17 20:13:32.000;844e-0000-0f01-071a;1;78;96;17.04.2019 17:13;50;2;50;50;2019-04-17 17:13:32.000;1,964912;3,527602;1;302;0;0,800000012;4
3305600;2;2850;46;13900;2019-04-17 20:14:33.000;844e-0000-0f01-071a;1;78;96;17.04.2019 17:14;50;2;50;50;2019-04-17 17:14:33.000;1,894737;3,546636;1;302;0;0,600000024;3,299999952
3306013;2;2850;1407;13800;2019-04-17 20:38:15.000;844e-0000-0f01-071a;1;78;96;17.04.2019 17:38;50;2;50;50;2019-04-17 17:38:15.000;2,368421;3,572336;1;302;0;1,600000024;14,69999981
3306116;2;2850;453;13850;2019-04-17 20:46:03.000;844e-0000-0f01-071a;1;78;96;17.04.2019 17:46;50;2;50;50;2019-04-17 17:46:03.000;2,22807;3,55944;1;302;0;1,100000024;11,5
3306126;1;1712;16;9050;2019-04-17 20:46:29.000;844e-0000-0f01-071a;1;78;96;2019-04-17 17:46:30.050;30;1;30;30;2019-04-17 17:46:29.000;1,824561;3,241252;1;302;0;0,899999976;5,199999809
3306135;2;2852;21;14000;2019-04-17 20:47:05.000;844e-0000-0f01-071a;1;78;96;17.04.2019 17:47;50;2;50;50;2019-04-17 17:47:05.000;1,789474;3,523809;1;302;0;0,600000024;4,199999809
3306148;2;2853;29;14000;2019-04-17 20:47:49.000;844e-0000-0f01-071a;1;78;96;17.04.2019 17:47;50;2;50;50;2019-04-17 17:47:49.000;1,842105;3,525063;1;302;0;0,5;3
3306214;1;1713;307;8725;2019-04-17 20:53:06.000;844e-0000-0f01-071a;1;78;96;17.04.2019 17:53;30;1;30;30;2019-04-17 17:53:06.000;2,491228;3,363997;1;302;0;1,700000048;7
3306216;2;2858;8;13175;2019-04-17 20:53:28.000;844e-0000-0f01-071a;1;78;96;17.04.2019 17:53;50;2;50;50;2019-04-17 17:53:28.000;1,877193;3,752455;2;302;0;0,300000012;3,799999952
